name,body_group,force,muscle_group,equipment,description,steps,grip,video_link
Dumbbell Alternating Single Arm Press,Upper Body,Push,Chest,Dumbbell,"Start in a bench press position with two dumbbells., Break at one of your elbows first while keeping the other elbow extended., Your working arm should reach your side before pressing back to the ceiling., Then alternate to the other arm.","Start in a bench press position with two dumbbells., Break at one of your elbows first while keeping the other elbow extended., Your working arm should reach your side before pressing back to the ceiling., Then alternate to the other arm.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-alternating-single-arm-press-front..mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-alternating-single-arm-press-side.mp4#t=0.1"
Bow Pose,Upper Body,Hold,Chest,Yoga,"Lie on your stomach with your arms at your sides., Bend your knees and bring your heels towards your buttocks., Reach back with your hands and grab your ankles., Inhale and lift your chest off the ground, pulling your legs up and back with your hands., Keep your gaze forward and hold the pose for a few breaths before releasing back to the ground.","Lie on your stomach with your arms at your sides., Bend your knees and bring your heels towards your buttocks., Reach back with your hands and grab your ankles., Inhale and lift your chest off the ground, pulling your legs up and back with your hands., Keep your gaze forward and hold the pose for a few breaths before releasing back to the ground.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-bow-pose-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-bow-pose-side.mp4#t=0.1"
Yogi Arm Clock,Upper Body,Hold,Chest,Yoga,"Stand facing a wall with your arms extended and your palms pressing into the wall at shoulder height., Slowly begin to walk your feet away from the wall, keeping your arms straight and your hands pressing into the wall., Walk until your arms are fully extended and your body is at a 45-degree angle to the ground., Repeat From High to Low Angles starting above the shoulder, and ending below the chest.","Stand facing a wall with your arms extended and your palms pressing into the wall at shoulder height., Slowly begin to walk your feet away from the wall, keeping your arms straight and your hands pressing into the wall., Walk until your arms are fully extended and your body is at a 45-degree angle to the ground., Repeat From High to Low Angles starting above the shoulder, and ending below the chest.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-yogi-arm-clock-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-yogi-arm-clock-side.mp4#t=0.1"
Mountain,Upper Body,Hold,Chest,Yoga,"Stand tall with your feet hip-width apart and your arms at your sides., Press your feet into the ground and engage your leg muscles., Lift your chest and roll your shoulders back and down., Take a deep breath in, and as you exhale, release any tension in your body and relax your muscles.","Stand tall with your feet hip-width apart and your arms at your sides., Press your feet into the ground and engage your leg muscles., Lift your chest and roll your shoulders back and down., Take a deep breath in, and as you exhale, release any tension in your body and relax your muscles.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-mountain-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-mountain-side.mp4#t=0.1"
Tree Pose,Upper Body,Hold,Chest,Yoga,"Start in mountain pose, standing with your feet hip-width apart and arms at your sides., Shift your weight onto your left foot and bend your right knee, bringing the sole of your right foot to the inside of your left thigh., Bring your hands together in front of your heart, or raise them overhead., Hold the pose for a few breaths, then release and repeat on the other side.","Start in mountain pose, standing with your feet hip-width apart and arms at your sides., Shift your weight onto your left foot and bend your right knee, bringing the sole of your right foot to the inside of your left thigh., Bring your hands together in front of your heart, or raise them overhead., Hold the pose for a few breaths, then release and repeat on the other side.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-tree-pose-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-tree-pose-side.mp4#t=0.1"
Warrior One,Upper Body,Hold,Chest,Yoga,"Start in mountain pose, standing with your feet hip-width apart and arms at your sides., Step your left foot back about 3-4 feet and turn it slightly inward, while keeping your right foot facing forward., Inhale and raise your arms overhead, then exhale and bend your right knee, bringing it directly over your ankle., Hold the pose for a few breaths, then inhale and return to mountain pose. Repeat on the other side.","Start in mountain pose, standing with your feet hip-width apart and arms at your sides., Step your left foot back about 3-4 feet and turn it slightly inward, while keeping your right foot facing forward., Inhale and raise your arms overhead, then exhale and bend your right knee, bringing it directly over your ankle., Hold the pose for a few breaths, then inhale and return to mountain pose. Repeat on the other side.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-warrior-one-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-warrior-one-side.mp4#t=0.1"
Warrior Two,Upper Body,Hold,Chest,Yoga,"Start in mountain pose, standing with your feet hip-width apart and arms at your sides., Step your left foot back about 3-4 feet and turn it slightly inward, while keeping your right foot facing forward., Inhale and raise your arms to shoulder height, parallel to the ground, with your palms facing down., Exhale and bend your right knee, bringing it directly over your ankle while keeping your left leg straight., Look over your right hand and hold the pose for a few breaths, then inhale and return to mountain pose. Repeat on the other side.","Start in mountain pose, standing with your feet hip-width apart and arms at your sides., Step your left foot back about 3-4 feet and turn it slightly inward, while keeping your right foot facing forward., Inhale and raise your arms to shoulder height, parallel to the ground, with your palms facing down., Exhale and bend your right knee, bringing it directly over your ankle while keeping your left leg straight., Look over your right hand and hold the pose for a few breaths, then inhale and return to mountain pose. Repeat on the other side.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-warrior-two-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-warrior-two-side.mp4#t=0.1"
Supported Matsyasana Pose,Upper Body,Hold,Chest,Yoga,"Sit on the floor with your legs stretched out in front of you., Place a yoga block behind you, horizontally, at the base of your spine., Slowly recline over the block, supporting yourself with your forearms, until your back is resting on the block., Relax your arms at your sides, palms facing up, and breathe deeply.","Sit on the floor with your legs stretched out in front of you., Place a yoga block behind you, horizontally, at the base of your spine., Slowly recline over the block, supporting yourself with your forearms, until your back is resting on the block., Relax your arms at your sides, palms facing up, and breathe deeply.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-supported-matsyasana-pose-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-yoga-supported-matsyasana-pose-side.mp4#t=0.1"
Barbell Squat,Lower Body,Push,Legs,Barbell,"Barbell Squat: A Comprehensive GuideThe barbell squat is a fundamental strength training exercise that targets multiple muscle groups, including the quadriceps, hamstrings, glutes, and lower back. This fullbody workout provides numerous benefits, such as increased power, endurance, and stability.In this guide, you will learn how to set up, perform, and maintain proper technique while doing barbell squats, as well as things to avoid.How To Setup:Choose the Right Weight: Begin with a light weight and gradually increase the weight as you become more comfortable with the movement.Gather Equipment: You will need a barbell, weight plates, and a squat rack for this exercise.Adjust the Squat Rack: Ensure the barbell is positioned at a height that allows you to stand with the barbell resting comfortably on your upper traps.Load the Barbell: Add weight plates to the barbell using collars to secure the weights in place.Position Your Feet: Stand with your feet shoulderwidth apart, facing forward.Grip the Barbell: Grasp the barbell with both hands, using a grip that is slightly wider than shoulderwidth.How To Perform:Stand with your feet shoulderwidth apart and the barbell resting on your upper traps.Slowly bend your knees and lower your body, keeping your back straight and your head facing forward.Continue lowering your body until your thighs are parallel to the floor, or lower if you are comfortable doing so.Pause briefly at the bottom of the squat before pushing back up to the starting position.Repeat for the desired number of repetitions.Proper Technique:Keep Your Back Straight: Maintaining a straight back throughout the exercise helps to prevent injury and engages your lower back muscles.Drive Through Your Heels: Focus on pushing through your heels as you rise from the bottom of the squat, keeping your weight over your feet.Don’t Let Your Knees Cave Inward: Keep your knees tracking over your toes and avoid letting them cave inward.Breathe Properly: Exhale as you push up from the bottom of the squat and inhale as you lower yourself.Avoid Rounding Your Shoulders: Keep your shoulders back and avoid rounding them forward as this can place strain on your neck and upper back.Things to Avoid:Using Too Much Weight: Starting with a weight that is too heavy can compromise your form and increase the risk of injury.Allowing Your Knees to Collapse Inward: This can place strain on your knee joints and compromise your stability.Arching Your Lower Back: This can cause lower back pain and injury.Rounding Your Shoulders: Keep your shoulders back and avoid rounding them forward as this can place strain on your neck and upper back.Bouncing Out of the Bottom Position: Avoid bouncing out of the bottom position, as this can reduce the effectiveness of the exercise and increase the risk of injury.Not Maintaining Proper Foot Position: Ensure your feet remain flat on the ground throughout the exercise, as elevating your heels or toes can impact your balance and stability.","Stand with your feet shoulder-width apart. Maintain the natural arch in your back, squeezing your shoulder blades and raising your chest., Grip the bar across your shoulders and support it on your upper back. Unwrack the bar by straightening your legs, and take a step back., Bend your knees as you lower the weight without altering the form of your back until your hips are below your knees., Raise the bar back to starting position, lift with your legs and exhale at the top.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-highbar-squat-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-highbar-squat-side.mp4#t=0.1"
Machine Leg Press,Lower Body,Push,Legs,Machine,"Place your legs on the platform with your feet at shoulder width., Release the weight and extend your legs fully, without locking your knees., Lower the weight until your legs are at a 90° angle (but DO NOT allow your butt and lower back to rise off of the pad. This will put your lower back in a rounded position, which is very dangerous.), Raise the weight back to starting position.","Place your legs on the platform with your feet at shoulder width., Release the weight and extend your legs fully, without locking your knees., Lower the weight until your legs are at a 90° angle (but DO NOT allow your butt and lower back to rise off of the pad. This will put your lower back in a rounded position, which is very dangerous.), Raise the weight back to starting position.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-machine-leg-press-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-machine-leg-press-side.mp4#t=0.1"
Machine Leg Extension,Lower Body,Push,Legs,Machine,"Sit on the machine with your back against the cushion and adjust the machine you are using so that your knees are at a 90 degree angle at the starting position., Raise the weight by extending your knees outward, then lower your leg to the starting position. Both movements should be done in a slow, controlled motion.","Sit on the machine with your back against the cushion and adjust the machine you are using so that your knees are at a 90 degree angle at the starting position., Raise the weight by extending your knees outward, then lower your leg to the starting position. Both movements should be done in a slow, controlled motion.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-machine-leg-extension-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-machine-leg-extension-side.mp4#t=0.1"
Dumbbell Goblet Squat,Lower Body,Push,Legs,Dumbbell,"Hold the weight tucked into your upper chest area, keeping your elbows in. Your feet should be slightly wider than shoulder width., Sink down into the squat, keeping your elbows inside the track of your knees., Push through your heels while keeping your chest up and return to starting position.","Hold the weight tucked into your upper chest area, keeping your elbows in. Your feet should be slightly wider than shoulder width., Sink down into the squat, keeping your elbows inside the track of your knees., Push through your heels while keeping your chest up and return to starting position.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-squat-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-squat-side.mp4#t=0.1"
Bulgarian Split Squat,Lower Body,Unknown,Legs,Bodyweight,"Stand with your back to a bench (or raised surface) and place one of your feet on the bench., Squat down until your front leg is about parallel to the floor., Go back to the starting position. After completing the desired amount of reps, switch legs and repeat.","Stand with your back to a bench (or raised surface) and place one of your feet on the bench., Squat down until your front leg is about parallel to the floor., Go back to the starting position. After completing the desired amount of reps, switch legs and repeat.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-bulgarian-split-squat-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-bulgarian-split-squat-side.mp4#t=0.1"
Kettlebell Step Up,Lower Body,Push,Legs,Kettlebell,"Standing up straight, using a bench as a step, raise one foot onto the bench and hold the kettlebell in the same arm as the straight leg., Stand and bring both feet onto the bench. Slowly lower your leg back down to the starting position., Repeat.","Standing up straight, using a bench as a step, raise one foot onto the bench and hold the kettlebell in the same arm as the straight leg., Stand and bring both feet onto the bench. Slowly lower your leg back down to the starting position., Repeat.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-step-up-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-step-up-side.mp4#t=0.1"
Kettlebell Goblet Squat,Lower Body,Unknown,Legs,Kettlebell,"Hold the weight tucked into your upper chest area, keeping your elbows in. Your feet should be slightly wider than your shoulders., Sink down into the squat, keeping your elbows inside the track of your knees., Push through your heels while keeping your chest up and return to the starting position.","Hold the weight tucked into your upper chest area, keeping your elbows in. Your feet should be slightly wider than your shoulders., Sink down into the squat, keeping your elbows inside the track of your knees., Push through your heels while keeping your chest up and return to the starting position.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-goblet-squat-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-goblet-squat-side.mp4#t=0.1"
Kettlebell Heels Up Goblet Squat,Lower Body,Unknown,Legs,Kettlebell,"Hold the weight tucked into your upper chest area, keeping your elbows in. Your feet should be slightly wider than your shoulders and the heels slightly raised on a surface., Sink down into the squat, keeping your elbows inside the track of your knees., Push through your heels while keeping your chest up and return to the starting position.","Hold the weight tucked into your upper chest area, keeping your elbows in. Your feet should be slightly wider than your shoulders and the heels slightly raised on a surface., Sink down into the squat, keeping your elbows inside the track of your knees., Push through your heels while keeping your chest up and return to the starting position.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-heels-up-goblet-squat-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-heels-up-goblet-squat-side.mp4#t=0.1"
Kettlebell Reverse Lunge,Lower Body,Unknown,Legs,Kettlebell,"Stand straight with your feet slightly apart and hold a kettlebell in one hand., Bring the same leg as the arm holding the kettlebell behind you, squat down until your back knee touches the ground, keeping your back straight., Return to the starting position and repeat.","Stand straight with your feet slightly apart and hold a kettlebell in one hand., Bring the same leg as the arm holding the kettlebell behind you, squat down until your back knee touches the ground, keeping your back straight., Return to the starting position and repeat.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-reverse-lunge-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-reverse-lunge-side.mp4#t=0.1"
Kettlebell Forward Lunge,Lower Body,Unknown,Legs,Kettlebell,"Stand straight with your feet slightly apart and hold a kettlebell in one hand., Bring the same leg as the arm holding the kettlebell in front of you, squat down until your thigh is parallel to the ground, keeping your back straight., Return to the starting position and repeat.","Stand straight with your feet slightly apart and hold a kettlebell in one hand., Bring the same leg as the arm holding the kettlebell in front of you, squat down until your thigh is parallel to the ground, keeping your back straight., Return to the starting position and repeat.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-forward-lunge-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-forward-lunge-side.mp4#t=0.1"
Kettlebell Lateral Lunge,Lower Body,Unknown,Legs,Kettlebell,"Stand straight with your feet shoulder width apart. Keep your back straight and hold the kettlebell in front of your pelvis., Take a large step to one side, holding the kettlebell low and lunge into the bent leg., Return to the starting position and repeat","Stand straight with your feet shoulder width apart. Keep your back straight and hold the kettlebell in front of your pelvis., Take a large step to one side, holding the kettlebell low and lunge into the bent leg., Return to the starting position and repeat",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-lateral-lunge-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-kettlebell-lateral-lunge-side.mp4#t=0.1"
Quads Stretch Variation Four,Lower Body,Unknown,Legs,Stretches,"Lay flat on your belly. Extend one arm out in front of you, placing your palm on the floor. With your other arm, grab the top of your foot., Keeping your upper leg flat on the floor, pull your foot towards your buttocks to engage the stretch., Pause for a few seconds, and then repeat the stretch with your other leg.","Lay flat on your belly. Extend one arm out in front of you, placing your palm on the floor. With your other arm, grab the top of your foot., Keeping your upper leg flat on the floor, pull your foot towards your buttocks to engage the stretch., Pause for a few seconds, and then repeat the stretch with your other leg.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-quads-stretch-variation-4-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-quads-stretch-variation-4-side.mp4#t=0.1"
Quads Stretch Variation Three,Lower Body,Unknown,Legs,Stretches,"Lay flat on your belly, with both hands reach back and grab the tops of your feet., Keeping your upper legs flat on the ground, pull both of your feet towards your buttocks., Pause at the apex of the stretch, then return to starting position.","Lay flat on your belly, with both hands reach back and grab the tops of your feet., Keeping your upper legs flat on the ground, pull both of your feet towards your buttocks., Pause at the apex of the stretch, then return to starting position.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-quads-stretch-variation-3-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-quads-stretch-variation-3-side.mp4#t=0.1"
Quads Stretch Variation Two,Lower Body,Unknown,Legs,Stretches,"Place one foot flat on the ground in front of you at a 90 degree angle. With your other leg, balance upon your knee, placing the tip of your foot against the wall behind you for balance., Place your hands on your knee in front of you, and lean forward so that your knee extends over your foot., Pause at the apex of the stretch, and slowly return to starting position. Repeat with your other leg.","Place one foot flat on the ground in front of you at a 90 degree angle. With your other leg, balance upon your knee, placing the tip of your foot against the wall behind you for balance., Place your hands on your knee in front of you, and lean forward so that your knee extends over your foot., Pause at the apex of the stretch, and slowly return to starting position. Repeat with your other leg.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-quads-stretch-variation-2-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-quads-stretch-variation-2-side.mp4#t=0.1"
Quads Stretch Variation One,Lower Body,Unknown,Legs,Stretches,"Stand perpendicular to a wall, using one arm against the wall for balance. With your other arm, grab the top of your foot., Pull your leg upwards and back to engage your quads, pausing at the apex of the stretch for a few seconds., Return to starting position and repeat with your other leg.","Stand perpendicular to a wall, using one arm against the wall for balance. With your other arm, grab the top of your foot., Pull your leg upwards and back to engage your quads, pausing at the apex of the stretch for a few seconds., Return to starting position and repeat with your other leg.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-quads-stretch-variation-1-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-quads-stretch-variation-1-side.mp4#t=0.1"
Side Lunges,Lower Body,Unknown,Legs,Bodyweight,"Take a slow, lateral step to the right., Extend the left knee, and drive your weight into your right side., Flex your knee and lower your body., Push back to the starting position.","Take a slow, lateral step to the right., Extend the left knee, and drive your weight into your right side., Flex your knee and lower your body., Push back to the starting position.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-side-lunge-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-side-lunge-side.mp4#t=0.1"
Forward Lunges,Lower Body,Push,Legs,Bodyweight,"How To Forward LungeSetupStart with your feet about shoulder width apart and toes facing forward. Use the cue superman chest throughout the entirety of the set. Meaning, imagine you have the superman logo on your chest and show off that logo for the entirety of the set. This will help you keep a tall chest and your shoulder blades pulled back. Also, this cue will help you keep your torso vertical.PerformingInitiate the first rep by taking a step forward. You should dictate your stride length by the body part you'd like to focus on. Use a shorter stride length if you want to recruit the quads more. The shorter stride length will increase the range of motion at your knees. If you want to recruit the glutes a bit more, take a longer stride. A longer stride will increase the range of motion at the hips.You can either let your arms stay to your sides, you can place your hands on your hips (as you can see in our demo video) or you can use prayer hands.Let your back knee gently tap the floor. Push off your front heel explosively to push yourself back into the starting position. You can either do all reps on one side or alternate sides.As you fatigue, be careful to not let your chest begin to sag forward, or let your lumbar spine round.  If the forward lunge is too difficult, try out a reverse lunge. It's an easier variation.","Step forward with one leg., Lower your body until your rear knee nearly touches the ground., Ensure you remain upright, and your front knee stay above the front foot., Push off the floor with your front foot until you return to the starting position. Switch legs.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-forward-lunge-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-forward-lunge-side.mp4#t=0.1"
Jump Squats,Lower Body,Unknown,Legs,Bodyweight,"Stand with your feet shoulder-width apart., Start by doing a regular squat, then engage your core and jump up explosively., When you land, lower your body back into the squat position.","Stand with your feet shoulder-width apart., Start by doing a regular squat, then engage your core and jump up explosively., When you land, lower your body back into the squat position.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-jump-squat-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-jump-squat-side.mp4#t=0.1"
Bodyweight Squat,Lower Body,Push,Legs,Bodyweight,"Stand with your feet shoulder width apart., flex your knees and hips and sit back into the squat while lowering your body, Continue down to full depth, Return to starting position.","Stand with your feet shoulder width apart., flex your knees and hips and sit back into the squat while lowering your body, Continue down to full depth, Return to starting position.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-squat-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-bodyweight-squat-side.mp4#t=0.1"
Barbell Curtsy Lunge,Lower Body,Push,Legs,Barbell,"Barbell Curtsy Lunge: A Comprehensive GuideSetupSelect a barbell and adjust the weight to a suitable level for your fitness levelStand with your feet hipwidth apart and your hands gripping the barbell, palms facing forwardKeep your back straight and your shoulders relaxedEngage your core muscles to maintain balance and stabilityHow to PerformStep your right foot diagonally behind you to the left, crossing it behind your left footBend your left knee to lower your hips down towards the ground, keeping your right knee close to the groundReturn to the starting position by pushing through your left heel to stand upRepeat the lunge on the other side by crossing your left foot behind your right footPerform the desired number of reps on each sideTechniqueMaintain a straight back and keep your core engaged throughout the movementEnsure your front knee does not extend past your ankle as you lower your bodyKeep your weight distributed evenly between both feetFocus on maintaining balance and control as you perform each repThings to AvoidAvoid arching your back or hunching forward as you lower your bodyDo not let your front knee extend too far past your ankle, as this can place unnecessary stress on your knee jointAvoid rounding your shoulders or neck, and keep your gaze forwardDo not use momentum or swing the barbell to complete the movement","Place the barbell on your back, Step your foot back and around while simultaneously bringing the weight down., Return to start and repeat on other leg.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-curtsy-lunge-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-curtsy-lunge-side.mp4#t=0.1"
Cable Goblet Squat,Lower Body,Unknown,Legs,Cable,"Start with a straight bar or easy bar attachment ., Get your elbows directly underneath the bar, squat straight up and then walk back a few steps., Break at your knees and hips to initiate the squat. Make sure you maintain a flat back., Squat all the way back to a standing position.","Start with a straight bar or easy bar attachment ., Get your elbows directly underneath the bar, squat straight up and then walk back a few steps., Break at your knees and hips to initiate the squat. Make sure you maintain a flat back., Squat all the way back to a standing position.",Neutral,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-goblet-squat-side.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-goblet-squat-front.mp4#t=0.1"
Cable Split Squat,Lower Body,Unknown,Legs,Cable,"You can use any attachment on this exercise. Cable should be set all to the bottom., Grab the attachment and walk back a few steps. Take a split stance. One leg in front and one behind., Break at the knees and hips to initiate the split squat. Make sure your back knee touches the floor., Squat back up into a standing position.","You can use any attachment on this exercise. Cable should be set all to the bottom., Grab the attachment and walk back a few steps. Take a split stance. One leg in front and one behind., Break at the knees and hips to initiate the split squat. Make sure your back knee touches the floor., Squat back up into a standing position.",Overhand,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-split-squat-side.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-split-squat-front.mp4#t=0.1"
Cable Standing Leg Extension,Lower Body,Unknown,Legs,Cable,"Stand upright facing away from the cable crossover with the cable set to the height of your hips. Use an ankle/wrist attachment., Extend at the knee against the cable.","Stand upright facing away from the cable crossover with the cable set to the height of your hips. Use an ankle/wrist attachment., Extend at the knee against the cable.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-cable-standing-leg-extension-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-cable-standing-leg-extension-side.mp4#t=0.1"
Band Spanish Squat,Lower Body,Unknown,Legs,Band,,,N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-spanish-squat-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-spanish-squat-side.mp4#t=0.1"
Band Leg Press,Lower Body,Unknown,Legs,Band,"Lay flat on the ground with your head by the anchor point of the band, which should be 6 to 12 inches above your head, Place the band around your midfoot and extend at the knees and hip.","Lay flat on the ground with your head by the anchor point of the band, which should be 6 to 12 inches above your head, Place the band around your midfoot and extend at the knees and hip.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-leg-press-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-leg-press-side.mp4#t=0.1"
Band Squat,Lower Body,Unknown,Legs,Band,"Stand with a shoulder width grip. Both feet should be on the band with the band loops in each of your hand., Push your butt back and also break at the knees., Try to hit parallel depth (bottom of your leg should be parallel with the ground). If you cant tell your squat depth, then try squatting in front of a mirror and watch your form.","Stand with a shoulder width grip. Both feet should be on the band with the band loops in each of your hand., Push your butt back and also break at the knees., Try to hit parallel depth (bottom of your leg should be parallel with the ground). If you cant tell your squat depth, then try squatting in front of a mirror and watch your form.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-band-squat-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-band-squat-side.mp4#t=0.1"
Dumbbell Goblet Bulgarian Split Squat,Lower Body,Unknown,Legs,Dumbbell,"Holding the dumbbell in a goblet squat place your foot on a bench or box., Break at the hips and knees. Try to go to the point where your hamstring is parallel with the ground. Or until your back knee taps the floor., Make sure to keep your back flat and your elbows directly under your fists.","Holding the dumbbell in a goblet squat place your foot on a bench or box., Break at the hips and knees. Try to go to the point where your hamstring is parallel with the ground. Or until your back knee taps the floor., Make sure to keep your back flat and your elbows directly under your fists.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-bulgarian-split-squat-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-dumbbell-goblet-bulgarian-split-squat-side.mp4#t=0.1"
Barbell Bulgarian Split Squat,Lower Body,Unknown,Legs,Barbell,"Barbell Bulgarian Split Squat: A Comprehensive GuideSetupStart by positioning a barbell on a squat rack or in a landmine setup.Step under the bar and grasp it with a palmsforward grip, just outside of your hips.Lift the bar from the rack and stand with your feet hipwidth apart and the barbell resting across your upper back.Take a large step forward with your right foot and place your left foot behind you, keeping it on a bench or elevated surface.How to PerformBend your right knee, lowering your torso towards the ground until your left knee almost touches it.Pause, then push through your right heel to return to the starting position.Repeat for the desired number of repetitions, then switch legs and repeat with your left foot forward.TechniqueKeep your chest lifted and your core engaged throughout the exercise.Make sure your front knee stays directly above your ankle and doesn't move forward past your toes.Keep your weight evenly distributed between both feet, and avoid shifting too much weight onto your back foot.Inhale as you lower down and exhale as you push back up to the starting position.Things to AvoidAvoid rounding your lower back or hunching forward as you lower down.Don't allow your front knee to collapse inward.Avoid shifting your weight too far forward onto your front foot, as this can put unnecessary strain on your knee.Don't let your back foot come off the bench or elevated surface during the exercise.","Find a box or bench that is roughly knee height or a few inches lower. (The lower the box is the lower the mobility requirement)., You can either place your toes or the top of your foot on the box. Point your front foot forward or slightly turned outwards and break at the knees and hips simultaneously., Aim to get your front leg to hit parallel depth (hamstring parallel with the ground) or lower., The further forward your front foot is, the longer the Range of Motion is at your hips. The further back your front foot is, the longer the ROM at your knees.",N/A,"https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-bulgarian-split-squat-front.mp4#t=0.1, https://media.musclewiki.com/media/uploads/videos/branded/male-barbell-bulgarian-split-squat-side.mp4#t=0.1"
